Fid,gender,age,location_type,preferred_time,preferred_language_for_learning,prefered_location ,learning_group,average_time_ spent,elearning_style,Label
10.42.0.42-123.59.190.237-58925-80-6,Male,45,Rural,Morning,English,Central Library,Science,2-4 hours,NON VERBAL,0
216.58.219.226-10.42.0.211-443-44879-6,Female,50,Urban,Morning,English,w Home,Science, 6 and Above,VERBAL,1
172.217.9.234-10.42.0.211-443-46345-6,Male,30,Rural,Evening,English,w Class Room,Arts,Less than an hour,NON VERBAL,0
202.77.129.161-10.42.0.42-80-54595-6,Male,65,Urban,Evening,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.211-54.192.38.154-53349-443-6,Male,45,Rural,Evening,English,College lab,Science,2-4 hours,NON VERBAL,0
216.58.217.163-10.42.0.151-443-48940-6,Male,20,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
152.163.56.2-10.42.0.211-443-48457-6,Male,45,Urban,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-10.42.0.1-55810-53-17,Male,60,Rural,Afternoon,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.211-115.239.210.141-51785-80-6,Male,40,Rural,Evening,English,Other places,Science,Less than an hour,VERBAL,1
10.42.0.151-98.139.183.24-55392-443-6,Male,45,Rural,Late Night,English,Home,Science, 2-4 hours,NON VERBAL,0
8.0.6.4-8.6.0.1-0-0-0,Male,55,Rural,Evening,English,Home,Science,Less than an hour,NON VERBAL,0
172.217.9.227-10.42.0.151-443-57870-6,Male,40,Rural,Morning,English,w Home,Science,Less than an hour,VERBAL,1
10.42.0.211-10.42.0.1-47002-53-17,Male,40,Urban,Late Night,English,Other places,Science,Less than an hour,NON VERBAL,0
172.217.10.110-10.42.0.151-443-38067-6,Male,35,Urban,Evening,English,College lab,Science, 2-4 hours,VERBAL,1
206.126.112.142-10.42.0.151-443-33251-6,Female,50,Rural,Morning,English,Central Library,other,2-4 hours,VERBAL,1
152.163.56.2-10.42.0.211-443-36198-6,Female,45,Rural,Morning,English,College lab,Science, 2-4 hours,VERBAL,1
10.42.0.42-106.39.169.66-43528-443-6,Male,25,Rural,Morning,English,w Central Library,Science,2-4 hours,NON VERBAL,0
180.149.136.194-10.42.0.151-80-54144-6,Male,25,Rural,Morning,English,Home,other,2-4 hours,VERBAL,1
10.42.0.211-119.146.74.34-43439-80-6,Female,35,Rural,Evening,English,Central Library,Science,2-4 hours,NON VERBAL,0
172.217.3.99-10.42.0.211-443-43528-6,Female,55,Urban,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
216.58.218.227-10.42.0.42-443-50608-6,Male,25,Urban,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-106.11.176.1-47627-443-6,Male,40,Urban,Evening,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.42-52.179.189.71-47940-443-6,Male,60,Urban,Afternoon,English,Home,Science, 2-4 hours,VERBAL,1
198.11.136.24-10.42.0.211-443-52636-6,Female,50,Urban,Afternoon,English,Home,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-10.42.0.1-39313-53-17,Male,25,Rural,Late Night,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.211-66.231.239.124-34031-443-6,Female,40,Rural,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-104.254.66.16-50163-80-6,Female,30,Urban,Late Night,English,w Central Library,Science,Less than an hour,NON VERBAL,0
202.77.129.230-10.42.0.151-80-58523-6,Male,35,Rural,Morning,English,Central Library,Science, 2-4 hours,NON VERBAL,0
203.205.158.61-10.42.0.42-80-54023-6,Male,40,Rural,Morning,English,Class Room,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-121.12.98.63-47417-80-6,Male,60,Rural,Evening,English,Home,Science,Less than an hour,VERBAL,1
172.217.10.72-10.42.0.211-443-34855-6,Female,35,Urban,Late Night,English,College lab,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-10.42.0.1-61032-53-17,Male,50,Urban,Morning,English,College lab,Science, 2-4 hours,VERBAL,1
172.217.10.234-10.42.0.151-443-46171-6,Male,35,Urban,Late Night,English,w Central Library,Science,2-4 hours,VERBAL,1
172.217.11.10-10.42.0.211-443-49984-6,Male,55,Urban,Late Night,English,Other places,Science, 2-4 hours,VERBAL,1
203.205.158.61-10.42.0.211-80-36236-6,Male,25,Urban,Afternoon,English,w Park or Garden,Science, 2-4 hours,NON VERBAL,0
205.204.101.182-10.42.0.42-443-47869-6,Female,25,Rural,Morning,English,Central Library,Science, 2-4 hours,NON VERBAL,0
172.217.10.106-10.42.0.151-443-41606-6,Female,60,Rural,Morning,English,w Home,Science, 2-4 hours,NON VERBAL,0
203.205.179.170-10.42.0.211-80-57794-6,Male,50,Rural,Morning,English,Home,Science,2-4 hours,NON VERBAL,0
10.42.0.211-98.139.199.204-37890-443-6,Male,45,Rural,Evening,English,w Home,Science,Less than an hour,NON VERBAL,0
10.42.0.211-69.147.82.61-41637-443-6,Male,50,Rural,Afternoon,English,Central Library,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-23.205.20.233-46359-80-6,Female,75,Rural,Morning,English,College Lab,Science, 2-4 hours,VERBAL,1
10.42.0.42-104.192.110.245-43650-443-6,Male,60,Rural,Afternoon,English,Central Library,Science,Less than an hour,NON VERBAL,0
10.42.0.211-119.146.74.34-59087-80-6,Female,20,Rural,Afternoon,English,Class Room,Science,2-4 hours,NON VERBAL,0
10.42.0.211-52.0.244.7-44682-443-6,Male,45,Rural,Morning,English,Class Room,Science, 2-4 hours,NON VERBAL,0
183.79.250.123-10.42.0.211-443-35953-6,Female,60,Rural,Evening,English,College Lab,Science, 2-4 hours,VERBAL,1
10.42.0.211-54.243.211.28-39454-443-6,Male,45,Rural,Late Night,English,Home,Science,Less than an hour,VERBAL,1
151.101.21.140-10.42.0.211-443-33380-6,Male,25,Rural,Evening,English,Home,Science,Less than an hour,VERBAL,1
203.205.147.229-10.42.0.151-80-36648-6,Female,25,Rural,Evening,English,Home,Science,Less than an hour,NON VERBAL,0
172.217.10.3-10.42.0.151-443-60003-6,Male,30,Rural,Morning,English,w Home,Science, 2-4 hours,VERBAL,1
172.217.12.131-10.42.0.211-443-37454-6,Male,45,Rural,Late Night,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.211-64.71.142.124-40223-80-6,Male,40,Rural,Late Night,English,w Home,Science,2-4 hours,NON VERBAL,0
202.77.129.150-10.42.0.211-443-43404-6,Male,40,Rural,Evening,English,Home,Science, 5-6 hours,NON VERBAL,0
172.217.3.106-10.42.0.151-443-43050-6,Female,45,Rural,Morning,English,Home,Science, 6 and Above,VERBAL,1
183.79.250.123-10.42.0.211-443-36972-6,Male,40,Rural,Late Night,English,Central Library,Science,2-4 hours,NON VERBAL,0
202.77.129.150-10.42.0.42-80-40130-6,Male,50,Rural,Afternoon,English,w Central Library,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-54.230.51.24-50398-80-6,Female,65,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.211-95.213.11.133-37968-443-6,Female,50,Rural,Evening,English,Park or Garden,Science,Less than an hour,NON VERBAL,0
222.73.28.96-10.42.0.42-80-43351-6,Male,30,Rural,Afternoon,English,Central Library,Science,Less than an hour,NON VERBAL,0
10.42.0.211-66.102.255.61-51792-80-6,Male,60,Rural,Evening,English,w Home,Science,Less than an hour,NON VERBAL,0
10.42.0.1-10.42.0.42-53-29805-17,Female,45,Rural,Morning,English,College Lab,Science, 2-4 hours,NON VERBAL,0
172.217.11.14-10.42.0.151-443-35230-6,Male,60,Rural,Morning,English,Park or Garden,Science,Less than an hour,VERBAL,1
10.42.0.42-72.21.206.53-45580-443-6,Male,45,Rural,Late Night,English,Home,Science, 2-4 hours,VERBAL,1
209.10.120.26-10.42.0.211-80-43093-6,Male,40,Rural,Late Night,English,Home,Science,Less than an hour,VERBAL,1
172.217.10.42-10.42.0.42-443-34080-6,Male,30,Rural,Morning,English,w Central Library,Science,g 5-6 hours,NON VERBAL,0
183.79.17.108-10.42.0.151-443-60437-6,Male,40,Rural,Morning,English,w Home,Science,Less than an hour,VERBAL,1
172.217.12.195-10.42.0.211-443-49630-6,Male,40,Rural,Afternoon,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-119.146.74.34-42472-80-6,Male,60,Rural,Late Night,English,Park or Garden,Science,Less than an hour,NON VERBAL,0
172.217.6.237-10.42.0.151-443-54754-6,Female,70,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
163.177.93.222-10.42.0.151-80-46812-6,Female,75,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.151-74.125.22.188-37263-5228-6,Female,45,Rural,Evening,English,Home,Science,Less than an hour,VERBAL,1
202.77.129.230-10.42.0.151-80-47935-6,Male,60,Rural,Morning,English,Home,Science,2-4 hours,VERBAL,1
192.229.173.173-10.42.0.151-80-57987-6,Male,25,Rural,Evening,English,Class Room,Science,5-6 hours,VERBAL,1
10.42.0.151-119.146.74.31-39177-443-6,Male,25,Rural,Morning,English,Park or Garden,Science,s 6 and Above,NON VERBAL,0
10.42.0.151-10.42.0.1-13570-53-17,Male,40,Rural,Morning,English,Park or Garden,Science,2-4 hours,VERBAL,1
222.73.28.96-10.42.0.211-80-34338-6,Male,45,Rural,Evening,English,Central Library,Science,2-4 hours,NON VERBAL,0
10.42.0.42-115.239.210.141-47686-80-6,Male,40,Rural,Evening,English,Park or Garden,Science,Less than an hour,NON VERBAL,0
10.42.0.151-10.42.0.1-45805-53-17,Male,45,Rural,Morning,English,Central Library,Science,2-4 hours,NON VERBAL,0
174.35.73.135-10.42.0.211-80-41771-6,Male,60,Rural,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
180.149.134.221-10.42.0.42-80-41726-6,Male,40,Rural,Afternoon,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.211-10.42.0.1-28008-53-17,Female,40,Rural,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.211-36.110.213.174-55806-443-6,Female,35,Rural,Morning,English,College Lab,Science,6 and Above,NON VERBAL,0
172.217.11.42-10.42.0.42-443-59418-6,Male,45,Rural,Afternoon,English,College Lab,Science,e 2-4 hours,NON VERBAL,0
203.205.158.66-10.42.0.151-80-55440-6,Male,60,Rural,Late Night,English,w Central Library,Science,e 2-4 hours,NON VERBAL,0
10.42.0.211-10.42.0.1-45516-53-17,Male,30,Rural,Late Night,English,Class Room,Science,2-4 hours,NON VERBAL,0
10.42.0.211-119.146.74.33-47669-443-6,Male,40,Rural,Evening,English,Park or Garden,Science,Less than an hour,VERBAL,1
216.58.219.226-10.42.0.211-443-55294-6,Male,50,Rural,Evening,English,Central Library,Science,2-4 hours,VERBAL,1
172.217.3.110-10.42.0.151-443-44237-6,Male,50,Rural,Morning,English,Campus Ground,Science,e 2-4 hours,NON VERBAL,0
172.217.10.42-10.42.0.211-443-57721-6,Male,60,Rural,Afternoon,English,Class Room,Science,Less than an hour,VERBAL,1
172.217.8.4-10.42.0.42-443-46715-6,Female,25,Rural,Morning,English,Central Library,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-106.11.94.27-35349-443-6,Male,30,Rural,Morning,English,To prepare class Assignments,Science, 2-4 hours,VERBAL,1
172.217.10.138-10.42.0.42-443-40117-6,Male,60,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
192.229.173.173-10.42.0.151-80-46598-6,Male,55,Rural,Morning,English,w Central Library,Science, 2-4 hours,NON VERBAL,0
172.217.12.206-10.42.0.211-443-52386-6,Male,40,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.211-10.42.0.1-52116-53-17,Female,45,Rural,Afternoon,English,Home,Science,To borrow library materials,NON VERBAL,0
10.42.0.211-64.71.142.120-37148-443-6,Female,20,Rural,Morning,English,w Central Library,Science, 2-4 hours,VERBAL,1
10.42.0.211-10.42.0.1-11650-53-17,Female,55,Rural,Morning,English,w Central Library,Science,Less than an hour,VERBAL,1
10.42.0.42-125.39.83.108-40521-443-6,Male,50,Rural,Late Night,English,Central Library,Science,Less than an hour,NON VERBAL,0
10.42.0.211-106.11.129.143-45644-80-6,Male,40,Rural,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
172.217.12.132-10.42.0.151-443-33413-6,Male,40,Rural,Evening,English,w Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-10.42.0.1-49656-53-17,Male,50,Rural,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
172.217.12.206-10.42.0.151-443-39666-6,Male,25,Rural,Morning,English,Other Places,Science,Less than an hour,NON VERBAL,0
10.42.0.211-10.42.0.1-8693-53-17,Female,25,Rural,Afternoon,English,Home,Science, 2-4 hours,NON VERBAL,0
205.185.216.42-10.42.0.151-80-41143-6,Female,40,Rural,Evening,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-31.13.80.5-35876-443-6,Female,35,Rural,Morning,English,Park or Garden,Science,s 6 and Above,VERBAL,1
172.217.6.202-10.42.0.151-443-56471-6,Female,35,Rural,Evening,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.211-118.178.143.65-48075-80-6,Female,35,Rural,Late Night,English,Central Library,Science,2-4 hours,VERBAL,1
10.42.0.211-23.206.166.66-49063-80-6,Male,25,Rural,Morning,English,w Home,Science,2-4 hours,NON VERBAL,0
10.42.0.151-104.254.66.16-54073-80-6,Male,40,Rural,Morning,English,Central Library,Science, 5-6 hours,NON VERBAL,0
10.42.0.42-14.29.93.243-56301-80-6,Male,30,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.42-104.193.88.109-53643-80-6,Male,25,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
216.58.219.202-10.42.0.151-443-36518-6,Male,45,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
180.163.255.159-10.42.0.211-80-34697-6,Male,40,Rural,Late Night,English,Other Places,Science,2-4 hours,VERBAL,1
10.42.0.1-10.42.0.42-53-16366-17,Female,50,Rural,Late Night,English,Class Room,Science,Less than an hour,NON VERBAL,0
10.42.0.211-23.194.141.143-55295-443-6,Male,35,Rural,Late Night,English,Home,Science,2-4 hours,NON VERBAL,0
10.42.0.211-23.7.36.183-36332-80-6,Female,60,Rural,Late Night,English,Home,Science,2-4 hours,VERBAL,1
10.42.0.151-114.134.80.163-44391-80-6,Female,45,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
174.35.73.134-10.42.0.211-80-38368-6,Male,40,Rural,Morning,English,College Lab,Science,Less than an hour,VERBAL,1
10.42.0.211-118.242.24.59-37885-18013-6,Male,40,Rural,Morning,English,Park or Garden,Science,Less than an hour,NON VERBAL,0
172.217.11.14-10.42.0.211-443-37667-6,Female,40,Rural,Morning,English,Central Library,Science,2-4 hours,VERBAL,1
10.42.0.211-10.42.0.1-9060-53-17,Male,40,Rural,Morning,English,Park or Garden,Science,2-4 hours,NON VERBAL,0
180.149.136.194-10.42.0.211-443-60205-6,Male,55,Rural,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-10.42.0.1-23829-53-17,Female,45,Rural,Morning,English,Central Library,Science,e 2-4 hours,NON VERBAL,0
10.42.0.211-74.125.192.188-60319-5228-6,Female,60,Rural,Evening,English,College Lab,Science,5-6 hours,NON VERBAL,0
10.42.0.211-95.213.11.181-54022-80-6,Male,50,Rural,Morning,English,Central Library,Science,Less than an hour,NON VERBAL,0
10.42.0.151-64.95.32.26-35204-443-6,Male,40,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
216.58.217.67-10.42.0.211-443-54011-6,Male,35,Rural,Late Night,English,Home,Science,2-4 hours,NON VERBAL,0
180.149.138.210-10.42.0.211-80-52068-6,Male,40,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
172.217.6.238-10.42.0.151-443-51144-6,Male,45,Rural,Morning,English,College Lab,Science,2-4 hours,VERBAL,1
199.59.148.73-10.42.0.211-443-39193-6,Female,40,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.211-74.125.22.188-50270-5228-6,Female,30,Rural,Evening,English,Class Room,Science,Less than an hour,NON VERBAL,0
172.217.10.110-10.42.0.42-443-53546-6,Male,30,Rural,Afternoon,English,Central Library,Science,Less than an hour,NON VERBAL,0
183.79.250.251-10.42.0.151-443-37631-6,Male,30,Rural,Morning,English,Central Library,Science,2-4 hours,NON VERBAL,0
172.217.11.42-10.42.0.42-443-58728-6,Female,35,Rural,Afternoon,English,w Park or Garden,Science,Less than an hour,NON VERBAL,0
10.42.0.211-121.12.98.64-56590-80-6,Female,45,Rural,Late Night,English,Class Room,Science,Less than an hour,NON VERBAL,0
174.129.31.175-10.42.0.211-443-54768-6,Male,60,Rural,Late Night,English,Central Library,Science,2-4 hours,NON VERBAL,0
10.42.0.151-74.119.119.68-44489-443-6,Male,55,Rural,Morning,English,Home,Science,2-4 hours,NON VERBAL,0
10.42.0.151-52.84.135.137-57220-443-6,Male,40,Rural,Late Night,English,Home,Science, 2-4 hours,VERBAL,1
157.55.235.173-10.42.0.42-40024-46360-17,Male,40,Rural,Morning,English,Home,Science, 2-4 hours,NON VERBAL,0
172.217.9.227-10.42.0.151-443-60656-6,Male,35,Rural,Morning,English,Class Room,Science,Less than an hour,VERBAL,1
216.58.219.202-10.42.0.151-443-46727-6,Female,30,Rural,Afternoon,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.151-88.212.196.103-43511-443-6,Female,60,Rural,Morning,English,Central Library,Science,2-4 hours,VERBAL,1
10.42.0.211-64.71.142.125-35944-443-6,Male,25,Rural,Morning,English,Class Room,Science,2-4 hours,NON VERBAL,0
172.217.10.133-10.42.0.151-443-55487-6,Male,40,Rural,Evening,English,College Lab,Science,Less than an hour,NON VERBAL,0
180.76.138.25-10.42.0.211-80-47454-6,Male,35,Rural,Late Night,English,Home,Science,2-4 hours,VERBAL,1
203.205.158.61-10.42.0.151-80-40903-6,Male,35,Rural,Afternoon,English,w Home,Science,Less than an hour,NON VERBAL,0
203.205.179.172-10.42.0.151-80-51767-6,Male,40,Rural,Evening,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.42-119.146.74.31-35470-443-6,Male,60,Rural,Evening,English,Central Library,Science, 2-4 hours,NON VERBAL,0
10.42.0.151-54.173.220.111-54434-443-6,Male,25,Rural,Morning,English,Park or Garden,Science, 2-4 hours,NON VERBAL,0
10.42.0.151-52.22.102.34-53632-443-6,Male,40,Rural,Morning,English,w College Lab,Science,Less than an hour,NON VERBAL,0
10.42.0.211-10.42.0.1-55667-53-17,Male,55,Rural,Morning,English,w College Lab,Science,2-4 hours,VERBAL,1
10.42.0.211-10.42.0.1-18693-53-17,Male,35,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
